name,negative,seen,roc-auc,macro 0.1
icon,random swap,seen,0.6415004446703088,0.6373930952396873
icon,random swap,unseen,0.7542455381287182,0.7643107227235206
icon,random sample,seen,0.6844831314878892,0.5694659442724458
icon,random sample,unseen,0.8035694970254191,0.7702883493211123
icon,mixed,seen,0.6601581809194266,0.596612638863595
icon,mixed,unseen,0.7773931855056788,0.7700037004355128
itrap,random swap,seen,0.615363511659808,0.5776478232618584
itrap,random swap,unseen,0.6534566767883625,0.6309731322869705
itrap,random sample,seen,0.6740893156531016,0.5676204686384457
itrap,random sample,unseen,0.6766612527363887,0.6448362626784461
itrap,mixed,seen,0.6453589391860998,0.572754474205633
itrap,mixed,unseen,0.6720711814137421,0.6369197833932334
kevin,random swap,seen,0.699598241358399,0.6921180300660688
kevin,random swap,unseen,0.6125,0.47368421052631576
kevin,random sample,seen,0.8076575619088107,0.7044822706143614
kevin,random sample,unseen,0.596875,0.47368421052631576
kevin,mixed,seen,0.7468302633507599,0.6990534184682403
kevin,mixed,unseen,0.678125,0.47368421052631576
fingerprint,random swap,unseen,0.5132414564126169,0.4948680162462419
fingerprint,random sample,unseen,0.5162033584417097,0.505552638551547
fingerprint,mixed,unseen,0.5165516452324597,0.4988507337937648
